date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:48:00	1938/1938	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22637696c1-222b%22	http://docs.donkeycar.com/robots.txt		(from )
09:48:01	12873/12873	---M-Z	200	added ('OK')	text/html	etag:W/%22637696c1-3249%22	http://docs.donkeycar.com/	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/index.html	(from )
09:48:01	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22637696c1-47e%22	http://docs.donkeycar.com/img/favicon.ico	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/img/favicon.ico	(from http://docs.donkeycar.com/)
09:48:02	129978/129978	---M-Z	200	added ('OK')	text/css	etag:W/%22637696c1-1fbba%22	http://docs.donkeycar.com/css/theme.css	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/css/theme.css	(from http://docs.donkeycar.com/)
09:48:02	4597/4597	---M-Z	200	added ('OK')	text/css	etag:W/%22637696c1-11f5%22	http://docs.donkeycar.com/css/theme_extra.css	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/css/theme_extra.css	(from http://docs.donkeycar.com/)
09:48:03	854/854	---M-Z	200	added ('OK')	text/css	etag:%225fe3c912-356%22	https://cdnjs.cloudflare.com/ajax/libs/highlight.js/10.5.0/styles/github.min.css	C:/My%20Web%20Sites/Site_maia/cdnjs.cloudflare.com/ajax/libs/highlight.js/10.5.0/styles/github.min.css	(from http://docs.donkeycar.com/)
09:48:03	49/49	---M--	200	added ('OK')	text/css	etag:%22637696c1-31%22	http://docs.donkeycar.com/extra.css	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/extra.css	(from http://docs.donkeycar.com/)
09:48:04	12873/12873	---M-Z	200	added ('OK')	text/html	etag:W/%22637696c1-3249%22	http://docs.donkeycar.com/.	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/.html	(from http://docs.donkeycar.com/)
09:48:04	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Nov%202022%2012:48:06%20GMT	http://docs.donkeycar.com/guide/build_hardware	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/guide/build_hardware	(from http://docs.donkeycar.com/)
09:48:05	34420/34420	---M-Z	200	added ('OK')	text/html	etag:W/%22637696c1-8674%22	http://docs.donkeycar.com/guide/build_hardware/	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/guide/build_hardware/index.html	(from http://docs.donkeycar.com/)
